NOTE #,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,1041.024241,
44,2,698.911216,3.019298111,21.15040588,0.00838389,1.414298111,0.671368819,0.104639665,0.663164107,3.021486555,,,,
45,2,743.4153633,2.74598281,8.246211052,0.00838389,1.14098281,0.714119166,0.297574377,0.649165367,1.17803015,,,,
46,2,722.1880803,2.841529706,17.88934898,0.00838389,1.236529706,0.693728399,0.227595964,0.655331342,2.555621283,,,,
47,2,790.1479195,2.617054198,8.327595711,0.00838389,1.012054198,0.759010106,0.402366467,0.643581826,1.18965653,,,,
48,2,754.6925263,3.580066237,7.624239445,0.00838389,1.975066237,0.724951924,-0.28515812,0.666513419,1.089177064,,,,
49,2,691.9453865,3.259842434,21.04338646,0.00838389,1.654842434,0.664677496,-0.055797812,0.662331321,3.006198066,,,,
50,2,737.9309805,3.527671934,15.55990601,0.00838389,1.922671934,0.70885091,-0.244311915,0.665418139,2.222843715,,,,
51,2,757.0672583,2.685808632,17.63118553,0.00838389,1.080808632,0.727233073,0.342246815,0.641665848,2.51874079,,,,
52,2,725.5984982,3.50801936,13.29466915,0.00838389,1.90301936,0.697004421,-0.227324722,0.658891974,1.89923845,,,,
53,2,725.230523,2.779436364,15.16239738,0.00838389,1.174436364,0.696650946,0.268951205,0.642641261,2.166056769,,,,
54,2,712.3706847,3.552369743,11.95824909,0.00838389,1.947369743,0.684297883,-0.25164107,0.636349248,1.708321299,,,,
55,2,683.9846026,2.831314746,10.71275806,0.00838389,1.226314746,0.657030428,0.221884931,0.61843032,1.530394009,,,,
56,2,653.7104698,3.190250406,19.40533066,0.00838389,1.585250406,0.627949325,-0.009076113,0.627883731,2.772190094,,,,
57,2,664.4937286,2.946772873,20.10245514,0.00838389,1.341772873,0.638307642,0.144912804,0.621640511,2.871779306,,,,
58,2,661.1193229,3.379376675,6.696520329,0.00838389,1.774376675,0.635066213,-0.128395801,0.621951456,0.956645761,,,,
59,2,699.1863311,2.763274492,24.13372803,0.00838389,1.158274492,0.671633093,0.269271734,0.615291593,3.447675432,,,,
60,2,728.4442597,2.610510963,8.297624588,0.00838389,1.005510963,0.699738037,0.374819445,0.590883834,1.185374941,,,,
61,2,641.2578766,3.396668751,5.511782169,0.00838389,1.791668751,0.615987458,-0.134951109,0.601023084,0.787397453,,,,
62,2,625.8204412,3.24789291,10.181777,0.00838389,1.64289291,0.601158375,-0.043303927,0.599596666,1.454539571,,,,
63,2,647.0465478,3.423849941,9.471806526,0.00838389,1.818849941,0.621548012,-0.152600985,0.602523751,1.353115218,,,,
64,2,632.0973587,3.338080756,8.062348366,0.00838389,1.733080756,0.607187934,-0.0981052,0.599209944,1.151764052,,,,
65,2,618.1524186,3.073926603,10.79751396,0.00838389,1.468926603,0.59379253,0.060384914,0.590714171,1.542501995,,,,
66,2,682.1617536,3.612988095,13.6852169,0.00838389,2.007988095,0.655279413,-0.277443361,0.593646604,1.955030986,,,,
67,2,611.6768041,3.216805292,22.33432579,0.00838389,1.611805292,0.587572104,-0.024088971,0.587078103,3.19061797,,,,
68,2,654.4538144,3.546710742,9.144203186,0.00838389,1.941710742,0.628663376,-0.22787024,0.585911934,1.306314741,,,,
69,2,638.1276042,2.811236008,22.78850937,0.00838389,1.206236008,0.612980542,0.21855119,0.572695838,3.255501338,,,,
70,2,686.1682045,3.655628038,15.29221439,0.00838389,2.050628038,0.659127979,-0.304273182,0.584694385,2.184602056,,,,
71,2,614.8423168,3.404753143,8.739332199,0.00838389,1.799753143,0.590612872,-0.134046493,0.575200054,1.248476028,,,,
72,2,649.6855756,3.59274739,14.37633801,0.00838389,1.98774739,0.624083042,-0.252737788,0.570616556,2.053762572,,,,
73,2,664.6836353,3.641971595,13.94410515,0.00838389,2.036971595,0.638490065,-0.286984027,0.5703593,1.992015021,,,,
74,2,600.7013516,3.422478399,12.11720848,0.00838389,1.817478399,0.577029168,-0.140903496,0.559561315,1.731029783,,,,
75,2,604.4965153,3.451729387,10.45912552,0.00838389,1.846729387,0.580674773,-0.158201833,0.558708665,1.494160788,,,,
76,2,556.8329366,3.23504033,8.920706749,0.00838389,1.63004033,0.534889501,-0.031670461,0.533951084,1.274386678,,,,
77,2,560.7355529,3.319389223,12.85951233,0.00838389,1.714389223,0.538638324,-0.077079117,0.533094789,1.83707319,,,,
78,2,635.272101,3.671640011,14.96781063,0.00838389,2.066640011,0.610237568,-0.290335106,0.536745205,2.138258662,,,,
79,2,606.5670286,2.678427179,21.6550293,0.00838389,1.073427179,0.582663693,0.277997641,0.512068638,3.093575614,,,,
80,2,536.0770083,3.210767253,9.149181366,0.00838389,1.605767253,0.514951513,-0.018004661,0.514636661,1.307025909,,,,
81,2,540.5748185,3.024197979,25.61680412,0.00838389,1.419197979,0.519272075,0.078419607,0.513316524,3.659543446,,,,
82,2,549.5710203,2.83634805,12.30543518,0.00838389,1.23134805,0.527913759,0.175777809,0.497790216,1.757919312,,,,
83,2,587.5735397,3.628004083,13.93527603,0.00838389,2.023004083,0.564418691,-0.246624124,0.507685927,1.990753719,,,,
84,2,593.4062435,3.657963423,12.04203033,0.00838389,2.052963423,0.570021542,-0.264319156,0.505034595,1.720290048,,,,
85,2,502.290954,3.270176414,10.7751503,0.00838389,1.665176414,0.482496885,-0.045470522,0.480349535,1.539307186,,,,
86,2,517.8419468,3.421438322,17.42075348,0.00838389,1.816438322,0.497435051,-0.120965807,0.48250275,2.488679068,,,,
87,2,499.0580417,2.878499194,10.33549309,0.00838389,1.273499194,0.479391374,0.140431463,0.458361314,1.476499013,,,,
88,2,542.7774904,3.634764009,22.27031708,0.00838389,2.029764009,0.521387945,-0.230986779,0.467429671,3.181473868,,,,
