"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"79","Centrum_17","1881","Pieter Corneliszoon Hooft","Colinet, Eduard Eduard Colinet","Keizersgracht","Grachtengordel","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Pieter_C._Hooft.JPG/150px-Pieter_C._Hooft.JPG","https://upload.wikimedia.org/wikipedia/commons/2/2a/Pieter_C._Hooft.JPG","NA"
"80","Centrum_170","2004","Max Euwe","Fijnaut, José José Fijnaut","Max Euweplein","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Max_Euwebeeld.jpg/150px-Max_Euwebeeld.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f0/Max_Euwebeeld.jpg","NA"
"81","Centrum_171","2005","Maraboe","Bunder, Joos Joos Bunder","Artis","Plantage","doleriet","//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Maraboe_Joos_Bunder.JPG/150px-Maraboe_Joos_Bunder.JPG","https://upload.wikimedia.org/wikipedia/commons/9/92/Maraboe_Joos_Bunder.JPG","NA"
"82","Centrum_172","2006 [23]","Rembrandt van Rijn
(Nachtwacht)","Taratynov, Alexander Alexander Taratynov
en Mikhail Dronov","Rembrandtplein",NA,"brons","//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Nachtwacht-in-3D.jpg/150px-Nachtwacht-in-3D.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2f/Nachtwacht-in-3D.jpg","NA"
"83","Centrum_173","2006","Amelia","Schraven, Christiaan Christiaan Schraven","Marnixstraat","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Amelia.JPG/150px-Amelia.JPG","https://upload.wikimedia.org/wikipedia/commons/4/42/Amelia.JPG","NA"
"85","Centrum_175","2007","Belle","Rijerse, Els Els Rijerse","Oudekerksplein","Oudezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Sex_worker_statue_Oudekerksplein_Amsterdam.jpg/150px-Sex_worker_statue_Oudekerksplein_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0b/Sex_worker_statue_Oudekerksplein_Amsterdam.jpg","NA"
"86","Centrum_176","2007","Waakhond
van het Stationseiland","Claassen, Tom Tom Claassen","De Ruyterkade (Oeverlandroute); in 2016 verplaatst naar Hoofddorpplein","Stationseiland","beton","//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Waakhond_van_het_stationseiland.jpg/150px-Waakhond_van_het_stationseiland.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8d/Waakhond_van_het_stationseiland.jpg","NA"
"87","Centrum_177","2008, 24 november [26]","Baruch Despinoza","Dings, Nicolas Nicolas Dings","Zwanenburgwal",NA,"brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Spinoza_Nicolas_Dings_Zwanenburgwal_Amsterdam.JPG/150px-Spinoza_Nicolas_Dings_Zwanenburgwal_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/4/43/Spinoza_Nicolas_Dings_Zwanenburgwal_Amsterdam.JPG","NA"
"88","Centrum_178","2008","Duik in de Verbeelding","Molina Espeleta, Mario Mario Molina Espeleta","Frans de Wollantstraat","Czaar Peterbuurt","glas","//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Duik_in_de_Verbeelding%2C_Amsterdam.jpg/150px-Duik_in_de_Verbeelding%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3f/Duik_in_de_Verbeelding%2C_Amsterdam.jpg","NA"
"89","Centrum_179","2009 [27][28]","De vermoeide reiziger","onbekend","Nieuwezijds Voorburgwal","Nieuwezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kunsterk_Nieuwezijds_Voorburgwal.JPG/150px-Kunsterk_Nieuwezijds_Voorburgwal.JPG","https://upload.wikimedia.org/wikipedia/commons/a/a3/Kunsterk_Nieuwezijds_Voorburgwal.JPG","NA"
"90","Centrum_18","1883-1886","Sint-Jacob","Royer, Louis Louis Royer en J. Stracké","Plantage Middenlaan 52","Plantage","zandsteen en vergulde koperen staaf","//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Plantage_Middenlaan_52_L._Royer_en_J._Strack%C3%A9_zandsteen_koper_zorgcentrum_St_Jacob_1866.jpg/150px-Plantage_Middenlaan_52_L._Royer_en_J._Strack%C3%A9_zandsteen_koper_zorgcentrum_St_Jacob_1866.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Plantage_Middenlaan_52_L._Royer_en_J._Strack%C3%A9_zandsteen_koper_zorgcentrum_St_Jacob_1866.jpg","NA"
"91","Centrum_180","2009","De Vogeltjes van Kattenburg","Berkman en Janssens, Berkman en Janssens","Kattenburgerdwarsstraat","Oostelijke eilanden","staal, verlichting en tegels","//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/De_Vogeltjes_van_Kattenburg.JPG/150px-De_Vogeltjes_van_Kattenburg.JPG","https://upload.wikimedia.org/wikipedia/commons/a/a9/De_Vogeltjes_van_Kattenburg.JPG","NA"
"92","Centrum_181","2009","Sint-Jacobus","Mooy, Ton Ton Mooy","Nieuwezijds Voorburgwal 33","Nieuwezijde","steen","//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sint_Jacobus_Amsterdam.JPG/150px-Sint_Jacobus_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e4/Sint_Jacobus_Amsterdam.JPG","NA"
"93","Centrum_182","2010, 17 oktober [29]","Monument voor Joodse dove oorlogslachtoffers","Menger, Truus Truus Menger","Hortusplantsoen","Weesperbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/52/De_wereld_bleef_doof.JPG/150px-De_wereld_bleef_doof.JPG","https://upload.wikimedia.org/wikipedia/commons/5/52/De_wereld_bleef_doof.JPG","NA"
"94","Centrum_183","2010, 17 oktober","de wereld bleef doof (Monument voor Joodse dove oorlogslachtoffers)","Koolen, Bart Bart Koolen","Hortusplantsoen","Weesperbuurt","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/ShoahDoven.jpg/150px-ShoahDoven.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3a/ShoahDoven.jpg","NA"
"96","Centrum_185","2010, 5 november","Bolle Jan en Tante Mien","Grant, Dominic Dominic Grant","Johnny Jordaanplein / Elandsgracht","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Mien_en_Bolle_Jan.jpg/150px-Mien_en_Bolle_Jan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/19/Mien_en_Bolle_Jan.jpg","NA"
